playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary,ppdollar,overallRank
2562631,Miles Boykin,BAL,WR,49,0,8,4.258770125,1.941321321,6.165731105,2.675450601,95,0.396596903,9,4.224409783,NA,83.8,8.8,4.960786657,NA,4500,0.000946393,NA
2562682,Alexander Mattison,MIN,RB,NA,0,12,4.213690732,3.114,5.01593732,0.918976211,62,0.270350433,12,1.90193732,NA,57.4,4.7,4.338672129,NA,4900,0.000859937,NA
2560995,Dallas Goedert,PHI,TE,25,1,10,4.137750028,3.424,4.8565744,0.872180084,24,0.064767167,8,1.4325744,NA,22,3.3,3.60503457,NA,4800,0.000862031,NA
2562407,Justice Hill,BAL,RB,49,0,8,4.105503985,2.866,5.605787151,1.582086862,63,0.354449838,12,2.739787151,NA,56.3,5.1,4.578066834,NA,4900,0.000837858,NA
2552559,C.J. Uzomah,CIN,TE,26,4,9,4.079665624,1.602526882,5.850174537,1.944660508,25,0.049557433,8,4.247647655,NA,26.7,5,4.643116821,NA,4800,0.00084993,NA
2555364,Tyler Higbee,LAR,TE,26,3,9,4.0663001,3.693790988,4.311642886,0.26952422,26,0.085103399,8,0.617851898,NA,29.3,3.6,3.788225555,NA,4500,0.000903622,NA
2560994,Mike Gesicki,MIA,TE,24,1,5,3.993916282,2.392526882,4.83497743,1.022907466,27,0.059404097,8,2.442450548,NA,23.4,2.7,3.238652599,NA,4800,0.000832066,NA
2553454,Geoff Swaim,JAC,TE,NA,NA,10,3.96847712,2.719,4.927544761,1.010647528,28,0.088993154,8,2.208544761,NA,33.3,4.8,4.520989497,NA,4500,0.000881884,NA
2556396,Chester Rogers,IND,WR,25,3,6,3.927868369,2.22927957,5.477782819,1.910981801,97,0.200004518,9,3.248503249,NA,112.5,14.2,7.189755645,NA,4700,0.000835717,NA
2541316,Ryan Griffin,NYJ,TE,29,6,4,3.900547249,3.527,4.304910165,0.391776104,29,0.060055868,8,0.777910165,NA,31.3,6.9,5.803326396,NA,4000,0.000975137,NA
2559193,Blake Jarwin,DAL,TE,25,2,8,3.858420682,2.102021505,4.960874534,1.258068484,30,0.036872395,8,2.858853029,NA,32.7,4.5,4.337798512,NA,4500,0.000857427,NA
2550284,Trey Burton,CHI,TE,28,5,6,3.82256208,3.403963855,4.270398487,0.452374023,31,0.077194929,8,0.866434632,NA,23.2,5.4,4.887371468,NA,5400,0.000707882,NA
2495288,Virgil Green,LAC,TE,31,8,12,3.820534495,2.904548387,4.586507892,0.817578519,32,0.430492559,8,1.681959505,NA,31.7,6.9,5.803326396,NA,4000,0.000955134,NA
2558914,Kendrick Bourne,SF,WR,24,2,4,3.796478075,2.462,4.713402439,0.931802556,98,0.137598315,10,2.251402439,NA,98.4,6.8,4.135242587,NA,4500,0.000843662,NA
2562699,Tony Pollard,DAL,RB,NA,0,8,3.781176612,2.72404,4.804164547,1.365148238,64,0.556008509,12,2.080124547,NA,62.8,3.8,3.800034044,NA,4800,0.000787745,NA
2552429,Ty Montgomery,NYJ,RB,26,4,4,3.720931681,2.495,5.067887102,1.272124146,65,1.031782919,12,2.572887102,NA,62.4,6.2,5.236402271,NA,4600,0.000808898,NA
2560747,Hayden Hurst,BAL,TE,26,1,8,3.670199807,3.225032258,4.047419215,0.523762082,34,0.573805644,8,0.822386957,NA,30.5,3.1,3.482907246,NA,4800,0.000764625,NA
2558194,Josh Reynolds,LAR,WR,24,2,9,3.659249627,3.025,4.009492547,0.463237244,100,0.096685854,10,0.984492547,NA,96.3,9,5.043341064,NA,4600,0.000795489,NA
2540145,Cordarrelle Patterson,CHI,WR,28,6,6,3.658509893,2.969344086,4.213581436,0.642843984,101,0.258843045,10,1.24423735,NA,91.8,7.9,4.589291825,NA,4500,0.000813002,NA
100018,Raiders,OAK,DST,NA,NA,6,3.506995673,0.568,4.819074857,2.131695865,31,2.95785174,7,4.251074857,NA,NA,NA,10.29930394,NA,2500,0.001402798,NA
2552418,Justin Hardy,ATL,WR,28,4,9,3.466617653,3.068,3.815773933,0.505218926,102,0.183087395,10,0.747773933,NA,117.7,8.5,4.836955046,NA,4500,0.000770359,NA
2560729,Robert Foster,BUF,WR,NA,1,6,3.332716043,1.727,4.436398658,1.584122244,104,0.121508063,10,2.709398658,NA,91.9,11.2,5.95143954,NA,5300,0.000628814,NA
2560987,Deon Cain,IND,WR,23,1,6,3.234344472,1.97,4.232682616,1.423590863,105,0.1765252,10,2.262682616,NA,85.6,10.6,5.703776319,NA,4500,0.000718743,NA
2562495,Parris Campbell,IND,WR,49,0,6,3.188071488,2.168466468,4.139948163,1.01810425,106,0.356453703,10,1.971481695,NA,82.4,10.6,5.703776319,NA,5000,0.000637614,NA
2558144,Adam Shaheen,CHI,TE,25,2,6,3.109884066,2.41276006,3.953939348,1.071338222,36,0.046750149,9,1.541179288,NA,39.3,6.3,5.436944425,NA,4000,0.000777471,NA
2552399,Jeff Heuerman,DEN,TE,27,4,10,3.082904259,2.592021505,3.576059752,0.566267511,37,0.114117905,9,0.984038247,NA,49.3,5.2,4.765244145,NA,4200,0.000734025,NA
2557889,Gerald Everett,LAR,TE,25,2,9,3.043363576,1.188448232,3.910834528,1.173764067,38,0.235701813,9,2.722386296,NA,29,3.9,3.971416541,NA,4700,0.000647524,NA
2560761,Richie James,SF,WR,24,1,4,2.927567056,1.955053763,3.451151553,0.84864085,109,0.251622997,10,1.496097789,NA,106.5,12.3,6.405488779,NA,4700,0.000622887,NA
2558207,Jonnu Smith,TEN,TE,24,2,11,2.894209132,2.298,3.489710865,0.699091493,40,0.225451636,9,1.191710865,NA,43,4.4,4.27673485,NA,4000,0.000723552,NA
2556519,Alex Erickson,CIN,WR,27,3,9,2.735668513,2.123784946,3.375345138,0.809017445,111,0.24355871,11,1.251560192,NA,115,8.7,4.919509453,NA,4500,0.000607926,NA
2555223,Devontae Booker,DEN,RB,27,3,10,2.729404526,2.089,3.177231545,0.444916495,67,0.12284915,14,1.088231545,NA,77.5,5.1,4.578066834,NA,4500,0.000606534,NA
2560951,Jordan Akins,HOU,TE,27,1,10,2.721114392,1.935,3.316660055,0.689173307,41,0.128196561,9,1.381660055,NA,35,4.6,4.398862174,NA,4100,0.000663686,NA
2555461,Wendell Smallwood,WAS,RB,25,3,10,2.648892998,1.51,3.120447793,0.786997244,68,0.086784121,14,1.610447793,NA,77.2,5.4,4.757612862,NA,4500,0.000588643,NA
2552586,Tyler Kroft,BUF,TE,27,4,6,2.616400602,2.35,2.824484953,0.293341228,43,0.111061461,10,0.474484953,NA,NA,NA,NA,NA,4300,0.000608465,NA
2558877,Zach Pascal,IND,WR,25,2,6,2.616219606,1.853849462,3.218152795,0.855749706,113,0.262637146,11,1.364303333,NA,125.5,13.1,6.735706407,NA,4500,0.000581382,NA
2562681,Dawson Knox,BUF,TE,49,0,6,2.56943506,1.646,3.218215969,0.92573587,44,0.143047485,10,1.572215969,NA,40.1,6.5,5.559071748,NA,NA,NA,NA
2562622,Ryquell Armstead,JAC,RB,NA,0,10,2.564217755,0.76572,3.577290698,1.284466178,69,0.106081717,14,2.811570698,NA,69.7,2.3,2.902303903,NA,4500,0.000569826,NA
2560938,Jeffery Wilson,SF,RB,49,1,4,2.56,2.56,2.56,NA,70,0.271250367,14,0,NA,67.7,6.9,5.655343003,NA,NA,NA,NA
2552402,Nick Boyle,BAL,TE,26,4,8,2.441243221,1.922526882,2.950916149,0.621246873,45,0.046953967,10,1.028389267,NA,48.6,6,5.253753439,NA,4000,0.000610311,NA
